Lat,Long,impact
47.175,-120.9319,0
27.4799,-82.3452,0
44.8446,-122.5927,0
30.5773,-86.6611,0
34.0132,-85.1479,0
33.9533,-117.3961,0
35.1269,-89.9253,0
38.6103,-90.4125,0
40.9849,-72.6151,0
41.8586,-74.3118,0
29.028,-81.0755,0
38.9085,-77.2405,0
42.9931,-71.0498,0
38.9072,-77.0369,0
40.229,-75.3879,0
37.6017,-121.7195,0
26.1901,-80.3659,0
26.663,-81.9535,0
32.8162,-111.2845,0
41.1489,-73.983,0
43.0324,-73.936,0
32.7957,-79.7848,0
45.7466,-122.5194,0
33.8999,-84.5641,0
40.9629,-112.0953,0
38.9108,-104.4723,0
21.307,-157.8584,0
42.3345,-122.7647,0
47.7425,-123.304,0
34.3672,-80.5883,0
42.6953,-121.6142,0
37.2519,-119.6963,0
47.0676,-122.1295,0
36.1593,-95.941,0
39.2587,-104.9389,0
41.8882,-71.4774,0
35.7211,-79.1781,0
39.9078,-75.3879,0
41.3148,-96.1951,0
38.0606,-84.4803,0
39.8362,-86.1752,0
42.4672,-71.2874,0
40.6546,-73.5594,0
44.9964,-93.0616,0
40.5608,-119.6035,0
41.6739,-75.2479,0
38.7646,-121.9018,0
37.3541,-121.9552,0
36.0796,-115.094,0
29.5693,-95.8143,0
47.1981,-119.3732,0
30.769,-86.9824,0
35.9179,-86.8622,0
40.7128,-74.006,0
39.1547,-77.2405,0
42.3601,-71.0589,0
39.7392,-104.9903,0
39.5912,-106.064,0
40.9263,-74.077,0
29.7752,-95.3103,0
37.7749,-122.4194,0
37.8534,-121.9018,0
33.7879,-117.8531,0
42.1767,-71.1449,0
33.2918,-112.4291,0
35.8032,-78.5661,0
41.122,-73.7949,0
43.9088,-71.826,0
27.9904,-82.3018,0
39.0916,-120.8039,0
37.563,-122.3255,0
38.578,-122.9888,0
45.775,-118.7606,0
33.8034,-84.3963,0
45.547,-123.1386,0
48.033,-121.8339,0
40.745,-123.8695,0
38.4747,-121.3542,0
32.7157,-117.1611,0
36.5761,-120.9876,0
34.0522,-118.2437,0
47.6062,-122.3321,0
41.7377,-87.6976,0
48.4242,-121.7114,0
46.8646,-122.7696,0
48.1976,-122.5795,0
48.8787,-121.9719,0
38.0834,-122.7633,0
38.196,-120.6805,0
37.5091,-120.9876,0
36.6066,-120.189,0
42.632,-70.7829,0
30.7917,-82.0843,0
26.07,-81.4279,0
27.8764,-82.7779,0
29.7938,-82.4944,0
30.5927,-81.8224,0
28.3232,-82.4319,0
32.7767,-96.797,0
32.7732,-97.3517,0
30.3883,-95.6963,0
40.5726,-74.4927,0
39.58,-105.2663,0
45.5146,-122.5863,0
44.9267,-123.4919,0
43.8325,-121.2617,0
42.3334,-88.2668,0
42.3689,-87.8272,0
40.4108,-75.2479,0
37.7772,-77.5161,0
34.7253,-80.6771,0
36.4933,-82.3452,0
39.4638,-86.1345,0
40.4483,-86.1345,0
41.6228,-86.3377,0
42.6712,-97.8722,0
40.8685,-81.2519,0
45.3293,-93.2197,0
43.9952,-92.3814,0
40.8298,-110.9984,0
41.256,-73.3709,0
41.7866,-73.2765,0
29.9511,-90.0715,0
43.8901,-102.2548,0
44.4797,-98.2213,0
43.0985,-98.3965,0
43.7242,-98.2213,0
43.6632,-96.8351,0
42.9815,-97.8722,0
33.8837,-106.7235,0
35.0178,-106.6291,0
42.5922,-83.3362,0
42.2791,-83.3362,0
39.5393,-75.6674,0
22,-80,4
5,-58.75,4
-35.4735,149.0124,2
55.3781,-3.436,1543
48.0196,66.9237,10
-17.6797,149.4068,3
16.265,-61.551,6
53.7609,-98.8139,7
52.9399,-106.4509,7
9.145,40.4897,5
12.8628,30.2176,1
9.9456,-9.6966,1
12.5211,-69.9683,2
37.6489,-122.6655,2
-0.0236,37.9062,3
17.0608,-61.7964,1
32.3182,-86.9023,29
-32.5228,-55.7658,8
7.9465,-1.0232,6
18.2208,-66.5901,5
49.19,-2.11,2
-22.9576,18.4904,2
-4.6796,55.492,3
10.6918,-61.2225,4
6.4238,-66.5897,17
-26.5225,31.4659,1
-0.8037,11.6094,1
15.7835,-90.2308,2
49.45,-2.58,1
21.0079,10.9408,1
-1.9403,29.8739,5
13.9094,-60.9789,2
12.9843,-61.2872,1
3.9193,-56.0278,1
31.9522,35.2332,0
3.9339,-53.1258,5
13.4443,144.7937,3
42.6026,20.903,2
53.1355,-57.6604,1
46.5107,-63.4168,1
6.6111,20.9394,1
-4.0383,21.7587,1
1.5,10,1
-12.8275,45.1662,1
41.3775,64.5853,6
52.1326,5.2913,1413
3.9339,-53.1258,11
44.682,-63.7443,5
16.25,-61.5833,3
13.4443,144.7937,3
18.2,-66.5,3
9.3077,2.3158,1
71.7069,-42.6043,1
6.4281,-9.4295,1
-12.8275,45.1662,1
12.1696,-68.99,1
-1.44,15.556,1
5.1521,46.1996,1
-6.369,34.8888,1
24.25,-76,1
18.3358,-64.8963,1
19.3133,-81.2546,1
